indice_tiempo,ventas_precios_corrientes,ventas_precios_constantes,ventas_totales_canal_venta,salon_ventas,canales_on_line,ventas_totales_medio_pago,efectivo,tarjetas_debito,tarjetas_credito,otros_medios,ventas_totales_grupo_articulos,subtotal_ventas_alimentos_bebidas,bebidas,almacen,panaderia,lacteos,carnes,verduleria_fruteria,alimentos_preparados_rotiseria,articulos_limpieza_perfumeria,indumentaria_calzado_textiles_hogar,electronicos_articulos_hogar,otros
2019-06-01,54413.41961482001,23803.413179689967,54413419.61482,53591716.25316001,821703.3616599999,54413419.61482,17995550.11326,15507030.32112,19225537.23247,1685301.94797,54413419.61482,37819361.44685999,5602884.226259999,15319207.31488,2072217.1330600004,6642410.2761699995,6000958.161809998,1591347.4123299997,590336.92235,8048845.872799999,1826746.7113700002,2810683.0828700005,3907782.5009200005
2019-07-01,55044.48225731951,23580.072634934764,55044482.25732,54121341.62436,923140.6329600001,55044482.25732,18548992.456090007,15609905.912700001,19194608.053610004,1690975.8349200003,55044482.25732,38131665.012029506,5612874.217779999,15602920.26619,2119480.47367,6625542.260160002,5890360.2849739995,1696455.0968255005,584032.4124300003,7868920.346770001,1715793.1016499999,3030760.2210199996,4297343.575850001
2019-08-01,59672.10445566601,24329.91041230039,59672104.45567001,58647926.47731001,1024177.9783600001,59672104.45567001,19745340.249500003,16044555.337071996,21781404.017981987,2100804.8511199993,59672104.45567001,41692727.534866,6069725.943820001,17125415.36678,2205098.44878,7351482.51123,6419554.8615259975,1903751.8360299997,617698.5666999999,8632826.213410001,1208097.6759300001,3073567.9513399997,5064885.080120002
2019-09-01,57885.30640686599,22144.650616311803,57885306.406869985,56887830.18007998,997476.22679,57885306.406869985,19561438.284749985,15872044.54628,20612694.849708993,1839128.7261300003,57885306.406869985,41090401.956106,6372597.213819998,16428217.44194,2192061.57613,7182926.619360001,6359574.893426,1949185.85839,605838.3530400002,8902170.01765,1202878.61775,2719800.95723,3970054.858129999
2019-10-01,66325.57959367818,24652.71442386198,66325579.59368,65144928.115430005,1180651.47825,66325579.59368,21884744.730451003,17749686.58293429,24432918.572433,2258229.7078618007,66325579.59368,45492474.303438276,7475899.072497,17942183.893732578,2403879.6151701985,7900014.451017998,6957491.715031801,2143017.1776677,669988.3783210004,10075045.155853305,1410451.35611,4712825.327799999,4634783.450476599
2019-11-01,67943.71018742798,24270.7041203352,67943710.18743,66454203.742079996,1489506.4453500002,67943710.18743,22763201.5517,16506702.373734001,26455726.00132099,2218080.2606699998,67943710.18743,46073845.36260799,8816995.30079,17296630.38648,2337204.0210099993,7523217.587329999,7072708.039417999,2347744.24576,679345.7818199999,10247962.26492,1572523.6138900002,4829969.163179999,5219409.78283
2019-12-01,83524.644291502,29147.85103469526,83524644.2915,82246180.67768,1278463.61382,83524644.2915,27960470.497710004,21105019.72176601,31600065.928096,2859088.143929999,83524644.2915,57646427.95771201,13299621.479150001,20776781.416310005,2985037.699810002,7985919.655520001,8877286.116901997,2838731.6730999993,883049.9169199999,11316019.2713,2197595.46859,4638017.9133,7726583.6806000015
2020-01-01,70145.01027272303,23483.345683378706,70145010.27273001,69104127.61199,1040882.66074,70145010.27273001,25121140.424074013,16421681.807168407,26279836.484293897,2322351.5571899996,70145010.27273001,47496667.89030299,8727149.3132,17489114.37861,2513045.890880001,7612363.147730001,7726181.492612999,2685147.6436800007,743666.02359,11066696.534919998,1775180.1644500005,3768285.2241500006,6038180.458899999
2020-02-01,72494.433661744,23702.013147622165,72494433.66173999,71514175.14700998,980258.5147299999,72494433.66173999,23982883.637197025,18677850.857655,27241035.986254998,2592663.180630001,72494433.66173999,50272765.354983985,8876881.393719997,18718680.521819998,2642994.2227499997,8169113.796009998,8316318.598123997,2778662.8211,770114.00146,10866053.983479999,1867271.73628,3407081.4500799994,6081261.1369199995
2020-03-01,85778.03108882,26996.659534813563,85778031.08881997,84174875.51342997,1603155.5753900001,85778031.08881997,26532575.533931985,22420795.889567308,33716809.20248102,3107850.4628399997,85778031.08881997,61417479.251030006,8284935.9926999975,26179704.492430013,2954223.1747500002,10540220.755719997,9503388.959339999,3248772.9431,706232.9329899999,14387138.382410003,1048525.3074200003,3460494.399360001,5464393.7486000005
